iter	Passed	Remaining
227	28695	97163
228	28793	96940
229	28903	96764
230	28999	96540
231	29082	96273
232	29169	96021
233	29249	95749
234	29349	95541
235	29455	95357
236	29559	95164
237	29639	94895
238	29737	94686
239	29815	94415
240	29905	94182
241	30016	94018
242	30103	93780
243	30183	93519
244	30301	93378
245	30411	93210
246	30515	93029
247	30663	92980
248	30760	92776
249	30850	92550
250	30957	92380
251	31089	92281
252	31261	92303
253	31358	92100
254	31458	91909
255	31545	91678
256	31650	91502
257	31812	91490
258	32063	91735
259	32149	91501
260	32243	91294
261	32438	91373
262	32681	91581
263	32786	91405
264	32880	91195
265	32979	91004
266	33092	90850
267	33209	90706
268	33299	90490
269	33411	90333
270	33506	90134
271	33600	89931
272	33698	89738
273	33798	89554
274	33885	89334
275	33974	89121
276	34042	88855
277	34182	88775
278	34334	88728
279	34433	88544
280	34517	88321
281	34616	88136
282	34717	87958
283	34815	87774
284	34898	87553
285	34990	87354
286	35096	87191
287	35198	87019
288	35280	86797
289	35392	86650
290	35521	86546
291	35621	86369
292	35731	86218
293	35889	86182
294	36010	86059
295	36116	85898
296	36220	85734
297	36350	85632
298	36504	85584
299	36659	85539
300	36786	85428
301	36936	85369
302	37047	85221
303	37179	85121
304	37286	84963
305	37412	84849
306	37509	84671
307	37636	84559
308	37756	84432
309	37850	84248
310	37963	84106
311	38048	83901
312	38149	83734
313	38241	83545
314	38336	83367
315	38445	83217
316	38548	83056
317	38656	82904
318	38768	82762
319	38888	82637
320	39144	82800
321	39256	82658
322	39362	82501
323	39458	82327
324	39550	82142
325	39658	81993
326	39753	81817
327	39858	81660
328	39959	81498
329	40057	81329
330	40135	81120
331	40233	80951
332	40321	80763
333	40396	80551
334	40492	80380
335	40575	80184
336	40682	80037
337	40802	79914
338	40923	79793
339	41029	79644
340	41118	79463
341	41315	79490
342	41465	79424
343	41556	79246
344	41637	79051
345	41736	78888
346	41827	78712
347	41921	78542
348	42006	78356
349	42097	78181
350	42177	77986
351	42277	77828
352	42431	77771
353	42583	77708
354	42695	77574
355	42809	77442
356	42913	77292
357	43006	77124
358	43091	76940
359	43181	76767
360	43263	76580
361	43350	76401
362	43457	76259
363	43528	76055
364	43622	75890
365	43831	75927
366	43961	75824
367	44081	75705
368	44180	75549
369	44261	75364
370	44343	75180
371	44428	75002
372	44531	74856
373	44601	74653
374	44809	74682
375	44960	74615
376	45156	74622
377	45283	74513
378	45407	74401
379	45583	74373
380	46047	74811
381	46361	75004
382	46533	74963
383	46710	74930
384	46846	74833
385	46976	74723
386	47186	74741
387	47389	74747
388	47521	74641
389	47648	74526
390	47753	74377
391	47852	74219
392	47953	74065
393	48052	73908
394	48172	73783
395	48277	73634
396	48679	73939
397	48844	73880
398	48986	73786
399	49111	73666
400	49215	73515
401	49326	73376
402	49532	73376
403	49624	73209
404	49736	73069
405	49857	72943
406	49957	72787
407	50051	72623
408	50125	72431
409	50445	72592
410	50572	72475
411	50747	72425
412	50874	72308
413	51033	72235
414	51173	72136
415	51284	71995
416	51424	71895
417	51534	71753
418	51688	71673
419	51818	71558
420	51912	71394
421	52044	71283
422	52180	71177
423	52364	71136
424	52484	71008
425	52598	70871
426	52737	70770
427	52856	70639
428	53005	70550
429	53195	70514
430	53305	70373
431	53418	70235
432	53550	70122
433	53716	70054
434	53824	69909
435	53926	69757
436	54030	69609
437	54109	69427
438	54234	69306
439	54320	69135
440	54416	68976
441	54519	68828
442	54632	68691
443	54711	68512
444	54814	68363
445	54911	68208
446	54993	68034
447	55086	67873
448	55173	67707
449	55253	67531
450	55370	67401
451	55457	67235
452	55535	67059
453	55670	66951
454	55740	66765
455	55841	66617
456	55958	66488
457	56048	66328
458	56127	66154
459	56254	66037
460	56347	65881
461	56426	65709
462	56541	65578
463	56646	65436
464	56730	65270
465	56834	65128
466	56922	64966
467	57013	64809
468	57116	64667
469	57200	64502
470	57291	64346
471	57375	64183
472	57467	64027
473	57569	63884
474	57669	63739
475	57794	63622
476	57985	63577
477	58137	63489
478	58326	63440
479	58460	63332
480	58624	63256
481	58794	63185
482	58920	63068
483	59027	62929
484	59198	62860
485	59394	62816
486	59591	62772
487	59718	62655
488	59859	62552
489	59991	62440
490	60225	62433
491	60408	62372
492	60524	62243
493	60640	62113
494	60759	61986
495	60878	61860
496	60971	61707
497	61092	61583
498	61199	61444
499	61341	61341
500	61518	61273
501	61642	61151
502	61731	60995
503	61898	60915
504	62045	60816
505	62141	60667
506	62244	60525
507	62384	60419
508	62485	60276
509	62580	60126
510	62735	60034
511	62869	59922
512	62998	59805
513	63110	59672
514	63235	59551
515	63363	59433
516	63461	59288
517	63620	59199
518	63762	59093
519	63851	58940
520	63958	58802
521	64102	58698
522	64237	58587
523	64382	58484
524	64497	58355
525	64642	58251
526	64826	58184
527	65041	58143
528	65141	57998
529	65236	57850
530	65358	57727
531	65455	57581
532	65568	57449
533	65715	57347
534	65875	57256
535	66016	57149
536	66123	57011
537	66220	56865
538	66294	56701
539	66400	56562
540	66491	56412
541	66564	56248
542	66661	56103
543	66745	55948
544	66828	55792
545	66937	55659
546	67018	55501
547	67105	55349
548	67219	55220
549	67313	55074
550	67385	54910
551	67482	54768
552	67570	54618
553	67642	54455
554	67755	54326
555	67833	54169
556	67914	54014
557	68024	53883
558	68109	53732
559	68184	53573
560	68282	53433
561	68382	53294
562	68452	53132
563	68568	53006
564	68660	52862
565	68735	52705
566	68832	52565
567	68914	52414
568	68994	52261
569	69099	52127
570	69178	51974
571	69273	51834
572	69361	51688
573	69443	51538
574	69542	51400
575	69668	51283
576	69759	51140
577	69843	50992
578	69956	50866
579	70037	50716
580	70116	50565
581	70194	50414
582	70282	50270
583	70367	50124
584	70462	49986
585	70538	49834
586	70629	49693
587	70743	49568
588	70896	49471
589	71062	49382
590	71187	49265
591	71302	49141
592	71462	49047
593	71616	48950
594	71740	48831
595	71858	48709
596	71983	48591
597	72094	48464
598	72259	48373
599	72412	48275
600	72579	48185
601	72712	48072
602	72855	47966
603	72965	47838
604	73089	47719
605	73247	47623
606	73359	47496
607	73468	47367
608	73595	47250
609	73728	47137
610	73860	47024
611	74011	46922
612	74134	46802
613	74264	46687
614	74365	46554
615	74438	46403
616	74522	46259
617	74614	46120
618	74686	45970
619	74782	45834
620	74870	45694
621	74959	45554
622	75087	45437
623	75160	45289
624	75238	45143
625	75334	45008
626	75438	44878
627	75560	44758
628	75680	44638
629	75798	44516
630	75922	44398
631	76024	44267
632	76179	44166
633	76289	44041
634	76435	43935
635	76546	43809
636	76668	43690
637	76822	43588
638	76945	43469
639	77089	43362
640	77220	43248
641	77327	43120
642	77436	42993
643	77552	42870
644	77680	42754
645	77822	42645
646	77934	42520
647	78059	42402
648	78169	42276
649	78294	42158
650	78444	42053
651	78574	41938
652	78673	41806
653	78784	41681
654	78910	41563
655	79069	41463
656	79201	41348
657	79334	41234
658	79452	41112
659	79618	41015
660	79775	40913
661	79897	40793
662	80019	40673
663	80155	40560
664	80261	40432
665	80397	40319
666	80510	40194
667	80647	40082
668	80744	39949
669	80834	39814
670	80949	39690
671	81044	39557
672	81176	39442
673	81326	39335
674	81656	39315
675	81756	39185
676	81879	39065
677	82040	38963
678	82204	38862
679	82317	38737
680	82407	38602
681	82516	38475
682	82684	38376
683	82823	38263
684	82964	38151
685	83092	38033
686	83211	37911
687	83328	37788
688	83446	37665
689	83613	37565
690	83776	37463
691	83935	37358
692	84036	37228
693	84153	37105
694	84318	37003
695	84569	36938
696	84688	36815
697	84790	36686
698	84931	36572
699	85069	36458
700	85204	36342
701	85345	36229
702	85463	36106
703	85576	35981
704	85685	35854
705	85855	35752
706	85948	35619
707	86036	35483
708	86131	35351
709	86202	35209
710	86300	35078
711	86440	34964
712	86542	34835
713	86650	34708
714	86851	34619
715	87139	34563
716	87520	34544
717	87835	34498
718	88094	34429
719	88463	34402
720	89208	34520
721	90025	34663
722	90408	34637
723	90748	34594
724	91013	34522
725	91248	34438
726	91433	34334
727	91758	34283
728	91989	34196
729	92396	34174
730	92775	34140
731	93052	34068
732	93280	33978
733	93609	33923
734	93988	33886
735	94317	33831
736	94621	33765
737	94984	33720
738	95285	33652
739	95639	33603
740	95957	33539
741	96239	33463
742	96572	33403
743	96868	33331
744	97083	33230
745	97309	33132
746	97514	33027
747	97798	32948
748	97968	32830
749	98172	32724
750	98311	32595
751	98540	32497
752	98874	32433
753	99192	32362
754	99619	32326
755	100146	32322
756	100477	32253
757	100845	32196
758	101112	32105
759	101330	31999
760	101431	31855
761	101515	31706
762	101637	31570
763	101785	31441
764	101926	31310
765	102034	31169
766	102140	31028
767	102277	30896
768	102440	30772
769	102572	30638
770	102699	30503
771	102827	30368
772	102941	30230
773	103057	30091
774	103181	29955
775	103299	29818
776	103444	29688
777	103567	29552
778	103694	29417
779	103829	29285
780	103983	29157
781	104096	29019
782	104196	28876
783	104311	28738
784	104434	28603
785	104545	28464
786	104660	28326
787	104774	28188
788	104854	28040
789	104967	27902
790	105072	27762
791	105170	27620
792	105281	27482
793	105416	27349
794	105555	27218
795	105650	27076
796	105751	26935
797	105915	26810
798	106029	26673
799	106140	26535
800	106248	26396
801	106373	26261
802	106509	26130
803	106638	25996
804	106771	25863
805	106893	25728
806	107008	25591
807	107137	25458
808	107269	25325
809	107405	25193
810	107524	25058
811	107641	24921
812	107775	24789
813	107874	24649
814	107988	24512
815	108083	24371
816	108187	24232
817	108296	24095
818	108420	23961
819	108546	23827
820	108698	23699
821	108835	23567
822	108940	23429
823	109054	23293
824	109185	23160
825	109292	23022
826	109458	22897
827	109589	22765
828	109727	22633
829	109854	22500
830	109971	22364
831	110338	22279
832	110526	22158
833	110715	22036
834	110891	21912
835	111200	21814
836	111324	21679
837	111451	21545
838	111665	21428
839	111802	21295
840	111963	21167
841	112148	21044
842	112385	20930
843	112574	20807
844	112672	20667
845	112864	20545
846	113014	20414
847	113087	20270
848	113186	20130
849	113297	19993
850	113392	19853
851	113502	19716
852	113614	19579
853	113723	19442
854	113819	19302
855	113938	19167
856	114017	19025
857	114127	18888
858	114199	18745
859	114302	18607
860	114396	18468
861	114486	18328
862	114585	18190
863	114905	18086
864	115027	17952
865	115137	17815
866	115360	17696
867	115456	17557
868	115565	17421
869	115674	17284
870	115770	17146
871	115852	17005
872	115978	16871
873	116079	16734
874	116179	16597
875	116308	16463
876	116406	16326
877	116503	16188
878	116622	16053
879	116707	15914
880	116826	15780
881	116982	15650
882	117083	15513
883	117194	15378
884	117335	15246
885	117446	15111
886	117564	14977
887	117660	14840
888	117779	14705
889	117884	14569
890	117999	14435
891	118112	14300
892	118244	14168
893	118348	14032
894	118458	13897
895	118550	13760
896	118675	13627
897	118802	13494
898	118904	13358
899	119023	13224
900	119141	13091
901	119263	12957
902	119503	12837
903	119649	12706
904	119788	12574
905	119986	12448
906	120154	12320
907	120325	12191
908	120523	12065
909	120696	11937
910	120870	11808
911	121061	11681
912	121255	11554
913	121406	11423
914	121580	11294
915	121701	11160
916	121836	11027
917	121957	10893
918	122100	10761
919	122237	10629
920	122453	10503
921	122602	10372
922	122721	10237
923	122899	10108
924	123052	9977
925	123210	9846
926	123411	9718
927	123597	9589
928	123737	9456
929	123925	9327
930	124146	9200
931	124306	9069
932	124469	8938
933	124661	8809
934	124826	8677
935	124939	8542
936	125052	8407
937	125299	8282
938	125503	8153
939	125684	8022
940	125833	7889
941	126025	7759
942	126223	7629
943	126442	7500
944	126660	7371
945	126908	7244
946	127291	7124
947	127569	6997
948	127774	6866
949	128054	6739
950	128196	6605
951	128362	6472
952	128563	6340
953	128735	6207
954	128914	6074
955	129012	5937
956	129111	5801
957	129233	5665
958	129361	5530
959	129527	5396
960	129675	5262
961	129858	5129
962	129987	4994
963	130087	4858
964	130167	4721
965	130256	4584
966	130348	4448
967	130419	4311
968	130501	4174
969	130598	4039
970	130688	3903
971	130779	3767
972	130876	3631
973	130981	3496
974	131106	3361
975	131220	3226
976	131314	3091
977	131422	2956
978	131521	2821
979	131675	2687
980	131814	2552
981	131930	2418
982	132112	2284
983	132278	2150
984	132404	2016
985	132579	1882
986	132711	1747
987	132824	1613
988	132955	1478
989	133071	1344
990	133177	1209
991	133259	1074
992	133357	940
993	133433	805
994	133522	670
995	133625	536
996	133710	402
997	133800	268
998	133915	134
999	134062	0
