iter	MultiClass
182	0.6380640317
183	0.6379071327
184	0.6376871194
185	0.6372822308
186	0.6371458401
187	0.6368740401
188	0.6368197106
189	0.6366596718
190	0.6365580139
191	0.6363692979
192	0.6362723314
193	0.6361999026
194	0.6360695761
195	0.635918311
196	0.6358407348
197	0.6357145602
198	0.6356255638
199	0.635526158
200	0.6354422599
201	0.6353458826
202	0.6351770127
203	0.6351030438
204	0.6349642791
205	0.6348885181
206	0.6345114967
207	0.6343126099
208	0.6341942099
209	0.634143669
210	0.6340069468
211	0.6338609776
212	0.6337243323
213	0.6335699893
214	0.6333928664
215	0.6333009717
216	0.6329928391
217	0.6328653302
218	0.6327515461
219	0.6326866083
220	0.6325848239
221	0.6324924843
222	0.6323562426
223	0.6321856314
224	0.6321046339
225	0.6320393839
226	0.6318960913
227	0.6318249265
228	0.6316888518
229	0.6316120847
230	0.6314866494
231	0.6314193327
232	0.6313715001
233	0.6312415191
234	0.6311686811
235	0.6310844163
236	0.6309602468
237	0.63083491
238	0.6307565616
239	0.6306850157
240	0.6305933239
241	0.6305307338
242	0.6304282558
243	0.6303374816
244	0.6301639851
245	0.6300122043
246	0.6299193907
247	0.6297529595
248	0.6296645519
249	0.6295801229
250	0.6294963593
251	0.6294399239
252	0.6293533142
253	0.6292338643
254	0.6290116793
255	0.6289463653
256	0.6287717044
257	0.6286956642
258	0.6285793192
259	0.6285054235
260	0.6284473232
261	0.6283224078
262	0.6281290488
263	0.6280486179
264	0.627955044
265	0.6278567056
266	0.6277439273
267	0.6275838116
268	0.6275560435
269	0.6273175734
270	0.6272717722
271	0.6271612147
272	0.6270546722
273	0.626977842
274	0.6268761542
275	0.6267564538
276	0.6266667271
277	0.6264919652
278	0.6264175228
279	0.6263237029
280	0.6262426531
281	0.626058784
282	0.6259985237
283	0.6258877073
284	0.6258238149
285	0.6257303569
286	0.6256310066
287	0.6254656168
288	0.6254158225
289	0.6253089204
290	0.6252602345
291	0.6251575152
292	0.625056818
293	0.6249468247
294	0.6248291367
295	0.6247145525
296	0.6246321244
297	0.6245651193
298	0.6243941965
299	0.6243471534
300	0.6242162964
301	0.6241343912
302	0.6241092721
303	0.623987342
304	0.6238899472
305	0.6237772483
306	0.6236991761
307	0.6235681668
308	0.6234167412
309	0.6232892841
310	0.6231937604
311	0.6231474684
312	0.6230851025
313	0.6230149494
314	0.6229368074
315	0.6228828094
316	0.6227650904
317	0.6226921285
318	0.6226100477
319	0.6225392292
320	0.6223505187
321	0.6222507101
322	0.622174305
323	0.6220598685
324	0.6219670244
325	0.6218894826
326	0.6217881171
327	0.6216854274
328	0.6215725104
329	0.6214974401
330	0.6214102962
331	0.6212590589
332	0.6211832377
333	0.6211362521
334	0.621058532
335	0.6209692282
336	0.6208449493
337	0.6207496293
338	0.6206517656
339	0.620582053
340	0.6204970022
341	0.6204140111
342	0.6202928774
343	0.6201979249
344	0.6201219889
345	0.6199927554
346	0.6198972971
347	0.619684862
348	0.6196457045
349	0.6195798398
350	0.6195120272
351	0.6194226173
352	0.6192960202
353	0.6191145441
354	0.6190521589
355	0.618970241
356	0.6188682535
357	0.6187821391
358	0.618687068
359	0.6185857073
360	0.6185247733
361	0.6184196799
362	0.6183144069
363	0.6182769497
364	0.6182044231
365	0.6181270093
366	0.6179435838
367	0.6178302411
368	0.617768808
369	0.6177502326
370	0.6176913684
371	0.6176168725
372	0.6175975192
373	0.6175612981
374	0.6174922984
375	0.6174397225
376	0.617408233
377	0.6173428258
378	0.6172055514
379	0.617168133
380	0.6170948209
381	0.6170192277
382	0.6169108223
383	0.6168402502
384	0.6167484777
385	0.6167016689
386	0.6166199034
387	0.6164904502
388	0.6164335053
389	0.6163363172
390	0.6162636611
391	0.616146267
392	0.615984612
393	0.6158903784
394	0.6157847308
395	0.6156511516
396	0.6156091776
397	0.6155560178
398	0.6154707598
399	0.6153707191
400	0.6152596348
401	0.6152088227
402	0.6151689049
403	0.6150141956
404	0.6149577362
405	0.6148885003
406	0.6148237715
407	0.6147369824
408	0.6146842623
409	0.614648225
410	0.6145107422
411	0.6144427836
412	0.6143730366
413	0.6142520547
414	0.6141822533
415	0.6141218143
416	0.6140532496
417	0.6140258882
418	0.6139587755
419	0.6139149797
420	0.6138931514
421	0.6137958855
422	0.6136913822
423	0.6136066971
424	0.6135493282
425	0.6134944658
426	0.6133415363
427	0.6132709437
428	0.6131488099
429	0.6130213484
430	0.6129288004
431	0.6128387036
432	0.6127074
433	0.6126294716
434	0.6125921303
435	0.612499852
436	0.6124296794
437	0.6123316927
438	0.612236192
439	0.6121664816
440	0.6120642561
441	0.6119448624
442	0.6117364839
443	0.6116874583
444	0.611651112
445	0.6115393075
446	0.6114956003
447	0.6114270874
448	0.6114035798
449	0.6113468724
450	0.6112126843
451	0.6111405258
452	0.6110895756
453	0.6110408349
454	0.6109926355
455	0.6109189087
456	0.6108366916
457	0.6107377755
458	0.6107118792
459	0.6105090449
460	0.6104275669
461	0.6103709553
462	0.6102634196
463	0.6101405509
464	0.6100710186
465	0.6099760918
466	0.609887044
467	0.6097815729
468	0.6096829933
469	0.6096345968
470	0.6095055432
471	0.6094419933
472	0.6093923374
473	0.6092796494
474	0.609202488
475	0.6090879576
476	0.6090123636
477	0.6089429252
478	0.6088072887
479	0.6087351567
480	0.6086459348
481	0.6086094528
482	0.6085296465
483	0.608478875
484	0.6083488067
485	0.6083073076
486	0.6081852353
487	0.608110518
488	0.6079853549
489	0.6078294051
490	0.6077019461
491	0.6076533197
492	0.6076188872
493	0.6075781422
494	0.6075171058
495	0.6074566355
496	0.6074170269
497	0.6073842744
498	0.6072892005
499	0.6070797115
500	0.6069750188
501	0.6068932989
502	0.6068608803
503	0.6067443912
504	0.6066256028
505	0.6065782593
506	0.6065354206
507	0.6063869918
508	0.6063484939
509	0.6063247557
510	0.6062299157
511	0.6061364762
512	0.6060687872
513	0.6060186105
514	0.6059358514
515	0.6058693072
516	0.6058282869
517	0.6057363387
518	0.6055864361
519	0.6055293835
520	0.6054415686
521	0.6053585973
522	0.605280049
523	0.6051845499
524	0.6051250559
525	0.6050152499
526	0.6049688989
527	0.6048893834
528	0.6048403292
529	0.6048067158
530	0.6047195089
531	0.6046503895
532	0.6045759529
533	0.60449659
534	0.6044492551
535	0.6043283851
536	0.604247545
537	0.6041555531
538	0.6040962114
539	0.6039797443
540	0.6038985252
541	0.6038100994
542	0.6037814156
543	0.6037125181
544	0.6036499306
545	0.6035750224
546	0.6034984362
547	0.6034169901
548	0.6033593433
549	0.6032846148
550	0.6032422988
551	0.6031859023
552	0.6031037159
553	0.6030417126
554	0.6029200144
555	0.6028273312
556	0.6027663837
557	0.6026116656
558	0.6025784895
559	0.6025389433
560	0.6024595685
561	0.6023397034
562	0.6022905117
563	0.6021902371
564	0.602109081
565	0.6020608674
566	0.6019788704
567	0.6018912515
568	0.6018356735
569	0.6017682066
570	0.6017143924
571	0.6016394779
572	0.6015881754
573	0.6015352373
574	0.6013412959
575	0.6012193381
576	0.6011324197
577	0.6010732629
578	0.6009726269
579	0.6009343812
580	0.6008837539
581	0.6008427924
582	0.6007828349
583	0.6006712658
584	0.6006088484
585	0.6005587509
586	0.6004688944
587	0.6004275743
588	0.600358361
589	0.6003191546
590	0.6002642274
591	0.6002163419
592	0.6001426067
593	0.6000252699
594	0.5999840312
595	0.5998835519
596	0.5997697504
597	0.5997539812
598	0.599640688
599	0.599550209
600	0.5994560863
601	0.5993822695
602	0.5992448411
603	0.599216954
604	0.599162843
605	0.5990373279
606	0.5989934372
607	0.5989329405
608	0.598884638
609	0.5987795329
610	0.5987053919
611	0.5985639284
612	0.5985048181
613	0.598424545
614	0.5983465137
615	0.5982937519
616	0.5982453276
617	0.5981933872
618	0.5981409118
619	0.5980704131
620	0.5979356456
621	0.5978565508
622	0.5977865085
623	0.5977185333
624	0.5976720248
625	0.5976260159
626	0.5975981464
627	0.5975426746
628	0.5975052086
629	0.5974239735
630	0.5973589524
631	0.5973314365
632	0.5972741548
633	0.5972441581
634	0.5971171847
635	0.597043395
636	0.5969615624
637	0.5968284731
638	0.5967663781
639	0.5967349198
640	0.5965600413
641	0.5965062617
642	0.5964390073
643	0.5963458923
644	0.5962641259
645	0.5961835433
646	0.5961602927
647	0.5960891386
648	0.5960452297
649	0.5959650692
650	0.5959091642
651	0.595876954
652	0.5958592432
653	0.5957752074
654	0.5957062117
655	0.5955463308
656	0.5954570486
657	0.595393635
658	0.5953553826
659	0.5952373147
660	0.5951486338
661	0.5951093089
662	0.5950545631
663	0.594948795
664	0.594900732
665	0.5948164901
666	0.5947901112
667	0.5946719402
668	0.5945296646
669	0.5944384478
670	0.5943878615
671	0.5942732852
672	0.5941985249
673	0.5941141756
674	0.5940168065
675	0.5939526624
676	0.5938977133
677	0.5938772956
678	0.5938212322
679	0.5937625822
680	0.5937109339
681	0.5936584903
682	0.5935845083
683	0.5935276447
684	0.5934313079
685	0.59338347
686	0.5933189165
687	0.5932281786
688	0.5931906263
689	0.5930856096
690	0.5929362804
691	0.5928089987
692	0.5927786621
693	0.592748438
694	0.5926928283
695	0.5925738727
696	0.5925327334
697	0.5924493985
698	0.5923617797
699	0.5922612899
700	0.5921511457
701	0.5920886659
702	0.5919754994
703	0.5918903284
704	0.5918446783
705	0.5917990643
706	0.5917171737
707	0.5916757588
708	0.5916370691
709	0.5916080309
710	0.5915762445
711	0.591534239
712	0.5914785314
713	0.5914215963
714	0.591316992
715	0.5912617911
716	0.5912236043
717	0.5911827926
718	0.5910996545
719	0.5909708987
720	0.5909237234
721	0.5908460517
722	0.5907771672
723	0.5906700408
724	0.5905974063
725	0.5904745762
726	0.5904231481
727	0.5903456164
728	0.5903146383
729	0.5901836383
730	0.5901341958
731	0.5900561921
732	0.5900156509
733	0.5899587575
734	0.5898634461
735	0.5897902978
736	0.5897572131
737	0.5896959224
738	0.5896252543
739	0.5895509964
740	0.5894853251
741	0.5894489135
742	0.5893734126
743	0.5892677404
744	0.5892304765
745	0.5891403762
746	0.5891099595
747	0.5890257948
748	0.5890024797
749	0.5889569733
750	0.5889207371
751	0.5888559401
752	0.5888177082
753	0.5887240167
754	0.5886926582
755	0.5886527921
756	0.5886028224
757	0.5885456474
758	0.5884716745
759	0.5884156245
760	0.5883442719
761	0.5882833674
762	0.5881815431
763	0.5881305962
764	0.588048012
765	0.5879622571
766	0.5878879716
767	0.5878430632
768	0.5877611586
769	0.5876958652
770	0.5876460639
771	0.5875571782
772	0.5874710604
773	0.5873705396
774	0.5872620942
775	0.5872431927
776	0.5871463786
777	0.5870838353
778	0.5870612777
779	0.5870164434
780	0.5869184969
781	0.5868578211
782	0.5868352931
783	0.5867745578
784	0.5867094594
785	0.5866682647
786	0.5865872031
787	0.5865518413
788	0.5865118809
789	0.5864523617
790	0.5864002674
791	0.586341347
792	0.5862662587
793	0.5861739007
794	0.5860197654
795	0.5859835134
796	0.5858689845
797	0.5857704811
798	0.5857145861
799	0.585620078
800	0.5855527798
801	0.5855012489
802	0.5854513389
803	0.5853782955
804	0.5853058628
805	0.5852505459
806	0.5852181875
807	0.5851187013
808	0.5851041567
809	0.5850309067
810	0.5849693694
811	0.5849429147
812	0.584855526
813	0.5848144628
814	0.5847273963
815	0.5846665233
816	0.5846193031
817	0.5845890009
818	0.584537154
819	0.5844848412
820	0.5844302701
821	0.5843726153
822	0.5843398813
823	0.5842943398
824	0.5842337037
825	0.5842071788
826	0.5841189553
827	0.5840721985
828	0.5839965072
829	0.583921725
830	0.5838352512
831	0.5837641903
832	0.5837029127
833	0.5836099095
834	0.5835639104
835	0.5834883413
836	0.5834151474
837	0.5833775344
838	0.5833386898
839	0.5832465045
840	0.5831634628
841	0.5830750188
842	0.5830237692
843	0.582919347
844	0.5828727057
845	0.5828208402
846	0.5827532064
847	0.5827159708
848	0.5826314041
849	0.5825459943
850	0.5825086231
851	0.5824423194
852	0.5824097316
853	0.5823529413
854	0.5822890621
855	0.5821876115
856	0.5821039514
857	0.5820185807
858	0.5819981516
859	0.5819246125
860	0.5818762442
861	0.5818035936
862	0.5817380893
863	0.581658064
864	0.5816019924
865	0.5815069702
866	0.5814514184
867	0.581370509
868	0.581303741
869	0.5812794686
870	0.5812405677
871	0.5811839104
872	0.5811262944
873	0.5810510587
874	0.5809757666
875	0.5808619329
876	0.5808332151
877	0.5807573664
878	0.5806592852
879	0.5805662674
880	0.5804823106
881	0.5804429721
882	0.580339235
883	0.5802635508
884	0.5802069741
885	0.5801639405
886	0.5800452459
887	0.5799791765
888	0.5798991027
889	0.5798006905
890	0.5797108532
891	0.5796492531
892	0.5795832173
893	0.5795234487
894	0.5794820258
895	0.5794361258
896	0.5793627195
897	0.5792462048
898	0.5791974046
899	0.579152668
900	0.5791026653
901	0.5790499318
902	0.5790268167
903	0.5789864031
904	0.5789435186
905	0.5787968293
906	0.5787212604
907	0.5786367803
908	0.5785167807
909	0.5783477981
910	0.5783037619
911	0.5782412953
912	0.578153862
913	0.5780914571
914	0.578009522
915	0.5779796244
916	0.5779286898
917	0.5778959799
918	0.577790479
919	0.5777396008
920	0.5776492807
921	0.5775955628
922	0.577565596
923	0.5775090898
924	0.5774700159
925	0.5774357328
926	0.5773474847
927	0.5772576004
928	0.5772291959
929	0.5771428289
930	0.577093016
931	0.5770083031
932	0.5769931014
933	0.5768825312
934	0.5767786452
935	0.576693582
936	0.5766592185
937	0.5765648173
938	0.5765138481
939	0.5764472804
940	0.576428168
941	0.5763945629
942	0.5763654369
943	0.5763068871
944	0.5762621281
945	0.5761797048
946	0.5761455712
947	0.5760176272
948	0.5759378298
949	0.5758725669
950	0.5757926748
951	0.5757194914
952	0.5756560479
953	0.5756202601
954	0.5755247377
955	0.5754799779
956	0.5754318285
957	0.5754049791
958	0.5753650051
959	0.5752678325
960	0.5751831189
961	0.5751234523
962	0.5750850642
963	0.575014499
964	0.5749789518
965	0.5749448746
966	0.5749187879
967	0.5748901816
968	0.5748260867
969	0.5747866074
970	0.5747121485
971	0.5746299482
972	0.5745421034
973	0.5745136313
974	0.574464414
975	0.5744041494
976	0.5743624071
977	0.5742837513
978	0.5742519652
979	0.5740709916
980	0.5740351377
981	0.5740008015
982	0.5739035141
983	0.5738331938
984	0.5737713516
985	0.5736616069
986	0.573544894
987	0.5734871738
988	0.5734472717
989	0.5733788069
990	0.5733147261
991	0.5732409259
992	0.5731354184
993	0.5730937751
994	0.573033704
995	0.5729500664
996	0.5729347166
997	0.5728965966
998	0.5728245829
999	0.5727055872
